origin,train_years,evaluation_year,model,alpha,train_rows,evaluation_rows,mae,rmse,r2
origin_1,2020,2021,persistence,,42,42,5.716666666666668,8.053999302328302,0.8669062787163618
origin_1,2020,2021,ridge_lag_plus_compact_5,1.0,42,42,14.47105560486303,19.580512014814722,0.21334830841409547
origin_2,2020_2021,2022,persistence,,84,42,5.273809523809524,7.406994763638722,0.8441783253567161
origin_2,2020_2021,2022,ridge_lag_plus_compact_5,1.0,84,42,4.994604358800483,6.362520309538961,0.8850253342977056
