origin,train_years,evaluation_year,model,alpha,train_rows,evaluation_rows,mae,rmse,r2
origin_1,2020,2021,persistence,,42,42,5.716666666666668,8.053999302328302,0.8669062787163618
origin_1,2020,2021,residual_ridge_compact_5,10.0,42,42,12.69190406006418,14.546945584772503,0.5658117950657586
origin_2,2020_2021,2022,persistence,,84,42,5.273809523809524,7.406994763638722,0.8441783253567161
origin_2,2020_2021,2022,residual_ridge_compact_5,10.0,84,42,5.048752783747237,6.660951090156831,0.873986729939724
