bootstrap_id,unweighted_mae_difference,weighted_mae_difference
835,-1.7675,-1.6375
836,-1.8096,-1.9704
837,-1.1805,-0.8534
838,-2.364,-2.665
839,-1.834,-1.4677
840,-2.8416,-2.8556
841,-2.098,-1.9786
842,-1.6733,-1.537
843,-1.6153,-1.5823
844,-1.6517,-1.4618
845,-1.8385,-2.5859
846,-1.2998,-1.2732
847,-2.1479,-2.1088
848,-1.4557,-1.1806
849,-1.2961,-0.9462
850,-2.4716,-2.4661
851,-2.1379,-2.1435
852,-1.0331,-0.8686
853,-0.3958,-0.5837
854,-2.3854,-1.9357
855,-1.4463,-1.4013
856,-0.2686,-0.5778
857,-1.7231,-1.6039
858,-1.4331,-0.6373
859,-0.6641,-0.7938
860,-1.1604,-1.1569
861,-1.6831,-1.6279
862,-0.9474,-0.9881
863,-1.0627,-0.996
864,-2.4089,-2.0909
865,-1.1777,-1.1985
866,-0.9624,-1.2321
867,-0.9324,-1.2504
868,-1.5099,-1.6648
869,-1.6413,-1.7961
870,-2.3179,-2.3751
871,-1.63,-1.703
872,-1.92,-1.6124
873,-2.2752,-2.3233
874,-1.6837,-1.473
875,-2.1015,-1.8905
876,-0.7586,-0.6923
877,-1.6045,-1.1981
878,-1.0388,-1.0532
879,-2.4499,-2.5899
880,-1.3107,-1.2298
881,-2.1628,-2.0446
882,-1.2965,-1.4014
883,-2.3411,-2.1303
884,-1.8188,-2.0153
885,-1.3843,-1.6352
886,-2.1193,-2.1534
887,-1.4574,-1.4469
888,-1.0625,-0.8688
889,-1.6423,-1.2839
890,-1.939,-2.1511
891,-1.3464,-1.2928
892,-1.861,-2.2975
893,-1.6983,-1.5291
894,-1.6385,-1.6115
895,-1.5888,-2.1528
896,-1.252,-1.3384
897,-2.0298,-2.34
898,-1.6194,-1.7863
899,-1.9676,-1.5627
900,-0.975,-0.8625
901,-1.5767,-1.5997
902,-1.897,-1.4761
903,-2.1942,-2.3917
904,-2.0687,-2.6172
905,-0.9198,-1.0535
906,-1.7644,-1.6527
907,-1.5458,-1.5684
908,-1.0393,-1.206
909,-1.1243,-1.1843
910,-2.0117,-1.8303
911,-1.2872,-1.488
912,-1.3908,-1.1427
913,-0.4246,-0.5549
914,-1.2703,-1.3895
915,-2.416,-2.5644
916,-1.6899,-1.5563
917,-1.3526,-1.2366
918,-2.0275,-1.739
919,-1.033,-1.0459
920,-2.0069,-2.1178
921,-1.6827,-1.6545
922,-2.1279,-1.8746
923,-0.9387,-1.0333
924,-1.2854,-1.5773
925,-2.0921,-2.1016
926,-1.8752,-1.8563
927,-1.85,-2.0234
928,-1.7169,-1.8163
929,-1.5902,-1.5445
930,-1.6351,-1.8735
931,-1.8265,-1.7805
932,-1.7051,-1.967
933,-1.8857,-1.969
934,-2.4988,-2.5264
935,-0.9521,-0.9419
936,-2.9522,-2.732
937,-0.5697,-0.8975
938,-1.2259,-1.5702
939,-2.0914,-2.105
940,-1.1041,-1.2313
941,-2.3061,-1.8142
942,-1.1235,-1.3118
943,-1.8041,-1.5626
944,-1.4551,-1.4267
945,-1.4442,-1.6687
946,-2.0145,-1.9854
947,-1.6942,-1.425
948,-1.4245,-1.8051
949,-1.6984,-1.9506
950,-2.114,-2.1451
951,-1.4079,-1.5266
952,-1.8182,-1.9247
953,-2.8668,-2.4726
954,-1.3403,-1.3199
955,-0.6436,-1.1318
956,-2.0896,-2.4941
957,-2.0323,-2.2269
958,-0.9504,-1.054
959,-2.0801,-2.1804
960,-1.8857,-1.7645
961,-1.615,-1.3802
962,-1.7439,-1.4711
963,-1.9996,-2.0231
964,-1.9567,-2.1096
965,-1.4369,-1.2353
966,-2.1401,-2.2451
