feature_set,alpha,mae,rmse,r2
compact_5,0.01,13.5248,17.0191,0.1773
compact_5,0.1,13.5253,17.0193,0.1773
compact_5,1.0,13.5302,17.0217,0.1771
compact_5,10.0,13.5936,17.0612,0.1733
compact_5,100.0,14.0507,17.549,0.1253
full_19,0.01,141.0745,150.4682,-63.3033
full_19,0.1,139.2929,148.548,-61.6725
full_19,1.0,123.0435,131.1236,-47.8321
full_19,10.0,75.354,80.4773,-17.3946
full_19,100.0,26.2329,29.2197,-1.4249
