Analysis,Persistence MAE,Ridge MAE,Persistence - Ridge MAE,Bootstrap 95% lower,Bootstrap 95% upper,Bootstrap P(persistence better)
Unweighted,5.838,7.446,-1.608,-2.625,-0.615,0.999
Diabetes-population weighted,5.393,6.978,-1.585,-2.642,-0.543,0.998
