feature_set,alpha,mae,rmse,r2
compact_5,0.01,5.2516,7.0326,0.8595
compact_5,0.1,5.2478,7.0278,0.8597
compact_5,1.0,5.2107,6.9814,0.8616
compact_5,10.0,5.0488,6.661,0.874
compact_5,100.0,5.644,7.2822,0.8494
compact_5,1000.0,7.9891,9.9314,0.7199
full_19,0.01,19.1953,22.6817,-0.4612
full_19,0.1,20.2332,23.4124,-0.5568
full_19,1.0,22.8245,25.4283,-0.8364
full_19,10.0,35.0689,36.7407,-2.8339
full_19,100.0,31.5456,33.1655,-2.124
full_19,1000.0,7.2224,9.3121,0.7537
